Communication Skills,Core Branch,Programming Language,Other Technical Skills,Certification Course,Backlog,10th Score (%),12th Score (%),Attendance (%),Company,Eligibility
8,Cyber Security,"Kotlin, Python, C++, Java","DSA, Machine Learning, DBMS, Web development, Data Analytics",1,0,80.54533535714604,76.95599007987994,74.14551452560441,Company A,0
8,AIML,"C++, Kotlin, Python","Machine Learning, DBMS, Data Analytics, DSA",1,1,92.12182098703519,80.3684634098417,80.9950887202233,Company A,0
5,CS,"Python, Java, C++",Android Development,0,1,74.94601185491936,97.80202213578414,83.98560576275865,Company C,1
7,CS,"C++, Java, Kotlin",DSA,0,1,75.52485827073988,81.92815091168606,82.66669815000658,Company C,0
9,DS,"Python, C++, Java, Kotlin","DBMS, Machine Learning",1,0,63.82760464232005,98.12710153052558,86.1667324796773,Company A,0
7,AIML,"Kotlin, Python","Data Analytics, DBMS, Android Development, DSA, Web development, Machine Learning",0,1,96.58337740886991,67.21160522462563,72.3099806643128,Company A,0
9,AIML,"Java, C++, Python, Kotlin","Data Analytics, Android Development, DBMS, DSA, Web development",0,1,63.64145259781767,88.96543915330533,65.05704908620112,Company A,0
5,DS,"Python, Java","DSA, Data Analytics, DBMS",1,0,85.92836709794224,92.48958154434989,90.43230165724309,Company B,0
6,CS,"C++, Java, Kotlin, Python","Android Development, DBMS, DSA, Machine Learning, Data Analytics, Web development",1,1,76.5277791521119,87.16515325339448,94.03121530522728,Company B,0
8,AIML,"Kotlin, C++, Java, Python","DSA, Web development, Data Analytics",0,0,76.22477561021769,84.27689120906162,70.2802492888973,Company B,0
5,DS,"Java, Kotlin","Web development, Android Development",1,1,87.18207346290735,82.59251124344729,76.28367824632079,Company A,1
8,AIML,"Kotlin, Python, Java","Android Development, Web development",0,1,62.68374930519515,94.43721930314784,79.94276867854221,Company C,1
10,Cyber Security,"Python, Java","DBMS, Data Analytics, Android Development, DSA",1,1,83.74823131805738,92.86586388658,81.33307371011746,Company C,0
6,CS,C++,"Web development, DBMS",1,1,90.88127143889419,64.89154884722399,86.37960684350608,Company C,0
6,Cyber Security,Java,"Web development, Android Development",1,0,93.12851031546377,93.94350628123513,61.66412933421285,Company A,0
5,CS,"Python, C++","DSA, Machine Learning, Web development",0,0,66.82121557575101,76.5627447776177,88.85908330936068,Company C,0
6,DS,"Kotlin, Java, C++, Python","Machine Learning, Data Analytics, Web development, Android Development",0,1,95.89676200312695,70.14787319983243,62.47884027917641,Company A,1
9,CS,C++,"Android Development, Machine Learning",1,0,86.2458436738977,94.79074272055703,78.73154270691472,Company A,1
6,CS,C++,"DSA, Android Development, DBMS, Machine Learning, Web development, Data Analytics",1,1,95.27419203282732,77.28099198534966,93.10684542276776,Company A,0
8,DS,"C++, Java, Kotlin, Python","Data Analytics, DSA",1,1,79.41122868440793,92.33458760707266,78.04861253113586,Company B,0
8,CS,"Java, Python, Kotlin, C++","DSA, Machine Learning, Web development, DBMS",0,1,81.68133380388808,70.53614447823378,65.96358995072991,Company A,0
8,AIML,"C++, Java, Kotlin","DBMS, Machine Learning, Web development, Android Development, DSA",1,1,96.76153108114684,60.157172856888714,99.40135380023838,Company C,0
8,DS,"Python, Kotlin, Java, C++","DSA, DBMS, Machine Learning, Android Development",1,1,95.99638173418687,79.81836771611778,95.57141848297053,Company A,0
9,DS,"Kotlin, C++","DBMS, Machine Learning, DSA",1,1,77.92643493476008,64.00913026571537,90.85254532900056,Company C,0
7,DS,"Kotlin, C++","DSA, Data Analytics, Web development, Machine Learning, Android Development",1,0,70.97650526542728,90.17503822099638,76.46046411596842,Company B,0
10,Cyber Security,"C++, Python, Kotlin","DSA, Android Development, DBMS, Machine Learning, Web development, Data Analytics",0,0,75.72681738257057,71.04300544277642,67.35382907557191,Company A,0
5,Cyber Security,Python,DSA,0,1,75.51057314119,77.74582586413915,97.65644725674005,Company C,0
8,CS,C++,"Web development, Data Analytics, Machine Learning, DBMS",1,0,71.47467499931176,63.48134260366217,81.29404506068556,Company B,0
6,DS,"Kotlin, Python, C++, Java","Machine Learning, Android Development, Data Analytics",0,1,70.74318417331867,71.46636993789011,94.0942184154994,Company A,1
8,CS,"Java, Python","Machine Learning, Data Analytics, Android Development, Web development, DBMS, DSA",0,0,94.44251745918878,91.25960973034287,73.68380023037703,Company A,0
6,AIML,Python,"DBMS, Data Analytics, DSA, Machine Learning, Android Development",0,0,62.79447682738647,66.06351647609277,73.41153268317882,Company A,0
10,DS,"Java, Python, Kotlin","Web development, DSA, DBMS, Data Analytics, Machine Learning, Android Development",1,0,87.10444728398377,85.8863824450783,99.42161922696157,Company B,0
10,AIML,"Python, Java, Kotlin","DSA, Android Development, Web development, Machine Learning",0,1,66.9128020582581,96.69703411218005,80.873321939794,Company C,0
10,CS,"C++, Java","Web development, Machine Learning",0,0,73.78023573576253,87.19347039030882,65.62781695442985,Company A,1
6,Cyber Security,"Kotlin, C++, Java","Data Analytics, Web development, DBMS, Machine Learning",0,1,62.46172136539347,92.44086757168907,68.7869871197883,Company B,0
8,CS,"Python, C++, Kotlin",Machine Learning,1,1,70.79894547421848,64.35886517215663,79.27777117570884,Company A,1
10,AIML,"Java, Kotlin","DSA, Data Analytics, Machine Learning, DBMS",1,1,90.73684284468968,70.02927304008217,61.698836419536455,Company B,0
9,DS,"Kotlin, C++, Java, Python","Web development, DBMS, Machine Learning, DSA, Data Analytics",0,0,95.40061298189035,95.78155408962364,78.50135941513201,Company A,0
6,CS,"Kotlin, C++, Java, Python","DBMS, DSA, Android Development, Machine Learning, Web development",0,0,68.86108607609468,88.60422454472356,76.7576336832051,Company C,0
6,DS,"Java, Kotlin, Python","DBMS, Machine Learning, Data Analytics, Android Development",1,0,78.54191357035688,85.58215305509245,91.17345061277948,Company A,0
8,Cyber Security,"C++, Python, Java, Kotlin","Web development, Android Development, DBMS, Data Analytics, Machine Learning",1,1,78.81296191748825,86.55066944486799,74.19767857956967,Company C,0
6,Cyber Security,"Java, C++, Python, Kotlin","Web development, Machine Learning",0,1,94.94301223038937,76.56802217218574,99.30195046158397,Company C,0
6,Cyber Security,"Java, C++, Python","Web development, DSA, DBMS, Android Development, Machine Learning, Data Analytics",0,0,90.51196211503222,61.782265264706126,67.23079677203613,Company A,0
10,DS,"C++, Kotlin, Java, Python","DBMS, DSA, Android Development, Machine Learning",1,1,80.523088734722,91.37766168282916,83.6394673987254,Company B,0
8,CS,"Python, Java, Kotlin","DBMS, Machine Learning",1,0,86.82988801887093,87.14852944861416,63.58797188033019,Company C,0
10,DS,Java,"Data Analytics, Android Development, DBMS, DSA, Machine Learning, Web development",0,0,93.89420215637467,78.91217856450899,89.35455935975928,Company C,0
10,DS,"Python, Kotlin","DSA, Machine Learning, Web development, Data Analytics, Android Development, DBMS",1,0,60.3815581610218,95.99038461473029,99.79014752247886,Company A,0
8,CS,"C++, Kotlin","Web development, Android Development",0,0,76.11560124200194,73.44638659940395,92.7655455100653,Company B,1
5,Cyber Security,"C++, Kotlin, Java, Python","Machine Learning, Web development, DSA",0,1,96.28972669108315,71.77286976924944,82.22814162881205,Company C,0
10,Cyber Security,"Kotlin, Java, C++, Python","Data Analytics, DBMS, Machine Learning, DSA",0,0,89.61252123375806,94.91185300317771,79.38965429598768,Company A,0
9,CS,"Java, Kotlin, C++, Python","Machine Learning, DSA, Data Analytics, DBMS, Web development, Android Development",1,0,81.71365497336299,91.87950619035942,93.40119845067387,Company C,0
9,DS,"Python, Kotlin","DSA, DBMS, Data Analytics, Machine Learning, Web development, Android Development",0,0,81.18578108140534,80.5991924259338,97.43896338842897,Company C,0
6,DS,C++,"Data Analytics, Web development, DSA, DBMS, Machine Learning",0,0,73.91080390417751,65.229389578314,99.56826103192373,Company C,0
9,Cyber Security,C++,"Web development, DSA, Machine Learning, Data Analytics, DBMS, Android Development",1,0,80.82082134566058,68.6028588586021,75.86156910257937,Company A,0
6,AIML,"C++, Kotlin","DSA, Android Development",1,0,86.21532797853813,86.24911961635226,99.63669899178049,Company A,0
5,AIML,Python,"Web development, Data Analytics, Machine Learning, Android Development, DSA, DBMS",0,0,76.73452153715172,75.40164951361646,66.23705008695326,Company B,0
8,AIML,"Kotlin, Python","DBMS, Data Analytics, Android Development",0,1,88.56612585568696,93.45892766663886,70.14199103727637,Company B,0
8,DS,C++,"DSA, Machine Learning, Data Analytics, Web development",1,1,94.44928909041543,97.99820037328817,63.56064498935585,Company C,0
8,DS,"C++, Kotlin, Java","Machine Learning, Web development, Android Development, DSA",1,1,66.18739392739445,92.22547701099673,70.86954065937927,Company C,0
9,Cyber Security,"C++, Java, Kotlin","DSA, Web development, Machine Learning, Android Development, DBMS, Data Analytics",1,1,78.06188091269698,75.10181691982228,90.71750206472045,Company B,0
5,AIML,"Java, Python",Machine Learning,0,0,76.32080365140325,91.54745716925696,94.116974327138,Company A,1
9,Cyber Security,Java,Machine Learning,0,1,87.49859216198912,74.05766693882734,91.15570580410287,Company B,0
9,Cyber Security,"Python, C++, Java, Kotlin","Data Analytics, DSA",0,1,69.99469861031717,66.68400351062536,85.24263112670785,Company B,0
5,Cyber Security,Java,Data Analytics,1,1,85.61003659809106,61.3357281946343,80.55866050090583,Company A,0
5,CS,"Python, C++, Java","DBMS, Machine Learning",0,0,95.09956966925952,75.4286685104408,88.34817156854587,Company A,0
5,AIML,"C++, Java, Kotlin","DBMS, Android Development, Data Analytics, DSA, Machine Learning",1,1,76.72526399174491,96.14237214789128,75.63334197068887,Company A,0
5,AIML,Kotlin,"Web development, DSA",0,1,96.44062799916881,69.55946351022706,93.65233405998808,Company C,0
8,CS,Kotlin,DSA,1,0,99.72654955733914,68.26052659719136,87.08760375907141,Company A,0
7,CS,"Python, C++, Kotlin, Java","Android Development, Machine Learning, Web development, DSA, Data Analytics, DBMS",0,1,64.24368199791809,98.79283140964162,87.91218793977635,Company C,0
7,AIML,"Java, C++, Kotlin, Python","DSA, DBMS, Data Analytics, Android Development, Web development",0,0,69.32212751939434,61.00016451402369,81.43743972516285,Company C,0
5,CS,C++,DBMS,1,1,98.01519005928373,91.43128601575017,95.4091593684469,Company B,0
7,Cyber Security,Java,"Web development, DBMS",1,0,98.33310745925547,72.85479822963481,70.0805893471621,Company C,0
7,DS,Java,"Android Development, Data Analytics, DBMS",0,1,63.90829101547034,61.499518274786375,75.24590613444202,Company A,0
5,Cyber Security,C++,"DBMS, Web development, Machine Learning, DSA",1,1,60.599940015085465,96.71210160838334,91.10570278710756,Company A,0
7,AIML,"Python, Java",DBMS,1,1,66.44400093025689,65.58569320838335,79.70995584517351,Company B,0
9,CS,Java,"DSA, Web development",0,0,99.84051133528993,82.07117134902782,95.56856053696762,Company B,0
6,DS,"C++, Kotlin, Python, Java","DSA, DBMS, Machine Learning, Android Development, Web development",1,1,67.19998466442748,70.9621682971819,73.85597279051409,Company C,0
6,AIML,"Python, Kotlin, Java",Web development,0,0,80.10190426888093,62.60771208738764,74.7732067527858,Company A,1
5,CS,"Java, C++",Data Analytics,0,0,93.93670905722044,61.996899426535165,95.54943157546501,Company C,1
8,DS,C++,"DBMS, Web development, Data Analytics, Machine Learning",1,0,60.816064427528254,64.62226795345356,78.57481280728165,Company B,0
5,DS,"Kotlin, Java, C++","DBMS, Data Analytics",1,0,84.17955929033837,62.8546805555752,80.64498336809947,Company C,0
8,CS,"C++, Kotlin","Machine Learning, Data Analytics, DSA",0,1,71.08101795478497,90.42232462079691,73.31054861342717,Company A,0
6,DS,"C++, Java, Python","Android Development, DSA, Machine Learning, Web development, Data Analytics",0,1,94.49339665758927,79.42264809133717,71.06679768716327,Company C,0
5,AIML,Kotlin,"Machine Learning, DBMS",0,1,71.33844597056317,73.71568365395919,86.23794843353568,Company C,0
10,CS,Python,"DBMS, Web development, DSA, Data Analytics, Machine Learning",0,0,87.47022881127636,76.73475640528028,64.79362646164816,Company B,0
9,Cyber Security,"Python, Java, Kotlin, C++",Machine Learning,0,1,86.96878529789588,97.15786942290492,95.17090564731637,Company A,0
7,AIML,Kotlin,"DBMS, Web development, DSA, Data Analytics",0,0,68.8597419543856,96.43007250952589,91.16812547060431,Company B,0
8,AIML,C++,"Machine Learning, DSA, Web development, Data Analytics",1,0,61.391967994734,88.62705920490308,67.62993054823211,Company B,0
10,CS,"Kotlin, Python","Machine Learning, Data Analytics, Web development, DSA, Android Development, DBMS",1,0,76.36998295141589,95.38729509686752,87.76079783298262,Company A,0
7,CS,"Java, Python, C++, Kotlin","Web development, Machine Learning, DBMS",1,1,71.56772607863479,72.78592110350499,84.10531685142539,Company A,0
7,DS,"Kotlin, C++","Machine Learning, Web development, DBMS, Android Development",0,1,92.35910998454835,75.24437304033131,67.38140202946576,Company B,0
5,AIML,"Kotlin, Python, Java",Web development,1,0,92.01456753821381,84.54848727416912,70.9281402420093,Company C,1
7,DS,Java,"DBMS, Android Development, Data Analytics",0,1,78.28095808770502,84.94503789189056,76.35946014935337,Company B,0
9,AIML,"Python, Java, C++","Machine Learning, DBMS",0,1,84.26048901292876,79.26799352049363,87.96970940981896,Company A,0
10,AIML,"Java, Kotlin","Android Development, Web development, DSA, Data Analytics",1,0,84.170380639477,76.02631393751813,85.54893635268024,Company A,0
7,Cyber Security,Python,"Android Development, Machine Learning, Web development",0,0,93.08632593710493,99.44721246434781,81.28939390706792,Company A,0
5,AIML,Python,Web development,0,1,77.0000965649279,92.84494504470898,90.73642172456137,Company A,1
9,DS,"Kotlin, Java","DSA, DBMS, Android Development, Data Analytics, Web development, Machine Learning",0,0,71.01786719162037,77.3992079155218,90.31750958424664,Company A,0
6,DS,"Java, Python","DSA, Android Development, Data Analytics, Machine Learning, DBMS",0,0,70.6013967256219,89.09169908958273,84.71436616249024,Company C,0
10,Cyber Security,"Java, Kotlin","DBMS, Android Development, Machine Learning, DSA, Data Analytics",0,1,81.44769117128817,70.78246773009838,91.47960333539301,Company C,0
7,DS,"Python, Kotlin",DBMS,0,1,77.9659281092885,64.00677304949319,73.37053499116837,Company A,0
5,CS,"Kotlin, C++",Web development,1,0,77.60483083939745,74.09724102210963,95.24998113290422,Company A,1
6,Cyber Security,Kotlin,"DSA, Machine Learning, DBMS, Data Analytics, Android Development",0,1,63.64549356358829,76.11891200493577,84.59640343207764,Company A,0
6,DS,"Kotlin, Java","Android Development, DBMS, Machine Learning, DSA, Data Analytics, Web development",0,0,88.74414962760783,60.661484982426835,92.89454055249722,Company C,0
8,DS,Kotlin,"DBMS, Data Analytics, DSA",0,0,68.54946751927643,92.59168006543584,81.85116419161136,Company C,0
9,CS,Kotlin,"DSA, Machine Learning, Android Development, Web development, Data Analytics",0,1,67.87814520834885,74.36773609556727,68.73752979954722,Company A,0
7,Cyber Security,"Python, Kotlin",Machine Learning,1,0,76.51033281109574,83.21672663120589,81.69640514713234,Company A,0
5,CS,"Java, C++","DBMS, DSA, Data Analytics, Web development",1,0,69.11113366471206,62.958527490838236,74.84446655106352,Company C,0
8,Cyber Security,"C++, Python, Java, Kotlin","Machine Learning, Web development",0,0,83.35433069232062,66.99987315002336,87.89996144148378,Company C,0
9,Cyber Security,Python,"Machine Learning, DBMS, Web development, Android Development, Data Analytics, DSA",0,1,74.85853357337886,95.5877490131024,79.03175166938944,Company C,0
8,AIML,"Python, C++","DBMS, Android Development, Web development, Data Analytics, Machine Learning, DSA",0,1,77.9564689037116,84.34750111531203,93.44451219710751,Company C,0
10,DS,"Java, Python","Android Development, Data Analytics, Web development, DBMS",1,1,81.48677286416115,98.01136200681943,87.12290049287667,Company A,0
9,DS,"C++, Java","Android Development, Machine Learning, Data Analytics, Web development",1,0,68.14142089927219,99.95000137565268,87.38177732125295,Company B,1
9,AIML,"Java, Python, Kotlin, C++",Android Development,1,0,66.2300649146212,74.87440461332378,68.68621333964259,Company A,1
7,CS,"Java, Python, C++, Kotlin","Machine Learning, Data Analytics, DSA, DBMS, Web development",1,1,95.2168761149442,71.95212256333099,99.36999065965162,Company B,0
9,AIML,"C++, Java, Kotlin","Machine Learning, Web development, Data Analytics",0,1,77.34894811325684,94.33424220636387,93.66700837085955,Company C,1
8,DS,Kotlin,"Machine Learning, DBMS, Web development, Android Development, Data Analytics, DSA",1,1,76.48374438530156,99.94445708149817,91.56019538242779,Company C,0
9,DS,"Java, Kotlin, C++","Web development, Data Analytics, DBMS, Machine Learning, DSA, Android Development",1,0,61.42448601091366,85.18564936929829,73.2086090064011,Company C,0
7,AIML,"C++, Python","Machine Learning, Web development, Android Development, DSA",0,1,79.91905210349573,91.8056289004609,81.42526611388928,Company A,0
7,AIML,"Java, Kotlin, Python, C++","Data Analytics, DBMS, Web development, DSA, Android Development",0,0,82.16678886444001,91.26983435261099,65.48412752297314,Company C,0
10,AIML,"Java, C++, Python, Kotlin","Machine Learning, DSA, DBMS, Android Development, Web development, Data Analytics",1,1,82.35363483818666,74.21358832878188,81.53903906650824,Company B,0
8,DS,"Python, C++, Kotlin","Web development, DBMS, Android Development",1,0,88.28124677291538,82.97081521028349,65.83556985933149,Company B,0
6,AIML,"Python, Java, Kotlin, C++","DSA, DBMS, Android Development, Data Analytics",1,0,67.09927339964047,93.32227765056854,82.12151375958405,Company C,0
6,AIML,"C++, Kotlin","Web development, Machine Learning, Data Analytics",1,1,70.08892536922475,87.52455505044222,85.94887520619622,Company C,1
9,CS,"Python, C++, Kotlin, Java","DBMS, Machine Learning, Android Development, Web development, DSA",0,0,92.4292186092165,60.846552559281534,75.6078386899961,Company C,0
10,AIML,"Python, Kotlin, C++","Machine Learning, Web development, Data Analytics, DSA, DBMS, Android Development",0,1,97.88682467373576,73.46822675590134,79.94179513325173,Company A,0
5,DS,"Kotlin, Java","DSA, Web development",1,0,65.43730989469283,65.77902786378421,95.02613550698344,Company B,0
9,CS,"Kotlin, Python, Java","Machine Learning, Data Analytics, DSA, DBMS, Android Development, Web development",1,0,79.90598218020872,69.31888848312157,64.34252578811237,Company B,0
10,Cyber Security,"Kotlin, C++, Python, Java","Data Analytics, Web development, DSA, DBMS, Machine Learning",1,1,68.56705010958348,96.21957909965303,91.66931571998612,Company B,0
8,DS,"Python, Java, C++","Web development, Machine Learning, DSA, DBMS, Data Analytics, Android Development",1,0,62.4029267341993,61.47573155643072,66.83018203984786,Company B,0
8,DS,"Python, C++, Java","DBMS, Data Analytics, Android Development, Machine Learning, Web development, DSA",1,1,73.02013352504542,68.79202847847695,61.46831931218514,Company A,0
8,Cyber Security,Java,DBMS,0,1,65.74750500736852,72.38277408952926,67.42298410980192,Company C,0
8,DS,"Kotlin, Python, C++, Java","Data Analytics, DSA, DBMS, Web development, Machine Learning, Android Development",0,1,88.39732293736985,84.67536287865579,90.6017275988196,Company A,0
8,Cyber Security,"Python, Kotlin, Java, C++","DSA, Android Development, DBMS, Machine Learning, Data Analytics, Web development",0,0,81.34901654685777,81.36406760343462,76.2050429334744,Company B,0
10,Cyber Security,"Java, Kotlin, Python","DBMS, DSA, Data Analytics",1,0,65.75337883961244,68.73077931413545,94.90082067384728,Company C,0
10,DS,C++,"DSA, Android Development",1,0,60.36966353622057,66.56964268892618,80.98830164729063,Company C,0
7,AIML,"Kotlin, Java, Python, C++","Data Analytics, Web development, Android Development",0,1,92.32628196096852,69.47192138384474,60.89001407705324,Company B,1
6,AIML,"Kotlin, Python","Web development, Data Analytics, DSA",0,1,67.0477762465699,80.10118506806623,88.66854438407707,Company C,0
8,Cyber Security,"Kotlin, Java, Python","Android Development, Web development, Data Analytics, DBMS",1,0,84.24866568883064,70.84711142844813,64.4093163488493,Company A,0
5,CS,"Python, Kotlin, C++, Java",DBMS,0,0,73.47687652306982,97.90410006430889,91.57518533847698,Company A,0
10,Cyber Security,"Kotlin, Python","DBMS, Android Development, Web development",1,1,83.41943753260142,78.55460885715391,66.7241019922072,Company C,0
5,Cyber Security,"Python, C++, Kotlin, Java","Machine Learning, Android Development, DSA, Data Analytics, Web development",1,0,72.62614507929297,62.35184066178548,73.81785543222054,Company C,0
5,Cyber Security,"C++, Kotlin","Web development, DSA, Data Analytics, Machine Learning, Android Development",0,1,63.477582427690166,89.17065623346534,90.45085718501441,Company C,0
5,AIML,"Java, Kotlin, C++","Machine Learning, Data Analytics, Android Development, Web development, DBMS, DSA",0,0,68.91800034231014,73.15381152835958,98.16925429905686,Company A,0
7,AIML,"C++, Java, Python, Kotlin","Android Development, Machine Learning, Data Analytics, Web development",0,1,67.52234265916303,86.1395572823299,74.85735802586929,Company C,1
10,AIML,"Java, Python, Kotlin, C++",DSA,1,0,77.12077409758575,71.18377482092927,93.17600880795743,Company B,0
5,Cyber Security,C++,Machine Learning,1,0,86.3313513370463,82.8297496693328,67.63169061903355,Company A,0
8,CS,"Kotlin, C++, Python","Android Development, Data Analytics, Machine Learning, DSA, Web development, DBMS",0,1,70.55224299785431,90.88610019229858,92.28719080809964,Company A,0
9,AIML,"Python, Kotlin","DBMS, Data Analytics, DSA, Android Development, Machine Learning",1,1,60.482797412024716,97.12034967098216,86.29976237025005,Company C,0
5,DS,"Python, Kotlin, C++, Java","Android Development, DBMS",1,1,80.75749457059027,70.44508577732309,67.70974028849474,Company A,0
7,DS,"C++, Java, Kotlin, Python","Machine Learning, DBMS, Web development, DSA",1,0,84.23037957435888,73.39427803995925,72.10015841405647,Company B,0
10,DS,"C++, Java","Web development, Android Development, Machine Learning, DBMS, DSA, Data Analytics",0,1,98.51481976007238,78.57065681143759,65.27083554388145,Company C,0
7,Cyber Security,"Java, Python, Kotlin","Android Development, DBMS, DSA, Data Analytics",1,1,83.57883212372988,97.08699350943955,75.31868044257253,Company B,0
5,DS,Kotlin,"Android Development, DSA, Web development, Data Analytics, DBMS",0,0,78.84690237512567,96.05547427242628,68.14594564493109,Company B,0
10,Cyber Security,Kotlin,"Android Development, Data Analytics, Web development, DBMS, Machine Learning",0,1,82.93606503590816,63.59513120402552,85.75991814521893,Company A,0
9,DS,"C++, Java, Kotlin, Python","Data Analytics, Machine Learning",1,1,97.11602519448108,65.27719303015243,99.78020416882235,Company B,0
5,CS,"Java, Python","Web development, Android Development",0,1,93.13512582406585,79.82036709322553,60.48036652337056,Company C,1
7,Cyber Security,"Java, C++, Python, Kotlin",DBMS,1,0,72.91914933455232,64.26477091221695,81.63679253149195,Company C,0
6,DS,"Python, Java","Android Development, DSA, Web development, Data Analytics",0,0,69.49017454628549,73.8232349339479,82.94666390196039,Company A,0
